T;pH;O2;con;KjN;oPO4
6.1;7.8;10.2;790;1;0.12
6.3;7.7;7.9;739;1.5;0.88
12.1;7.2;6.2;447;2;0.15
9.7;7.7;8.6;993;2.5;0.35
10.4;7.9;10.7;937;1;0.15
8.9;7;8.8;254;2;0.073
11.7;8;9.9;706;2;0.15
11.9;8.1;9.1;901;1;0.23
10;7.8;8.7;547;1;0.29
9.9;7.6;6.8;907;15.93;1.15
6.8;7.8;10.5;1.05;2;0.13
6.6;7.5;9.2;563;2.3;0.21
11.3;8;9.8;577;1;0.14
10.1;7.5;9.6;425;1;0.031
5.8;7.5;10.4;519;2.3;0.13
14;7.5;6.2;434;1.916111111;0.023
8.8;8.3;10.9;811;0.75;0.1
10;7.9;9.3;875;1;0.067
10.3;7.8;8.3;812;1;0.36
11;6.9;6.8;266;2;0.068
4.6;6.7;10.1;144;1;0.11
4;7.7;8.7;720;1;0.26
9.9;8;9.3;890;1;0.21
10.8;8;9.3;778;1;0.27
10;7.5;8.5;762;1;0.1
12.4;7.4;5.5;734;2.8;0.23
6.2;7.6;9.5;527;1;0.028
8.5;7.7;9.6;687;1;0.16
9;7.6;7.9;580;1;0.088
8.6;8;11;726;1;0.083
6.2;7.9;11;791;1;0.22
9.9;8;10.1;736;2;0.16
11.1;7.9;8.1;626;1;0.22
3.4;7.6;9.7;716;2;0.23
12.1;7.5;2.5;672;5.9;0.56
13;8.2;9.2;799;1;0.24
11.5;7.9;9.6;659;1;0.48
