site,vmm,year,T_av,pH_av,O2_av,O2_sat_av,con_av,Cl_av,BOC_av,COD_av,KjN_av,NH4_av,NO3_av,NO2_av,Nt_av,Pt_av,oPO4_av,SO4_av,SM_av,T_max,pH_max,O2_max,O2_sat_max,con_max,Cl_max,BOC_max,COD_max,KjN_max,NH4_max,NO3_max,NO2_max,Nt_max,Pt_max,oPO4_max,SO4_max,SM_max,T_min,pH_min,O2_min,O2_sat_min,con_min,Cl_min,BOC_min,COD_min,KjN_min,NH4_min,NO3_min,NO2_min,Nt_min,Pt_min,oPO4_min,SO4_min,SM_min,T,pH,O2,O2_sat,con,Cl,BOC,COD,KjN,NH4,NO3,NO2,Nt,Pt,oPO4,SO4,SM
SITE_1,426400,2015,11.114,7.829,8.843,81.286,740.714,54.667,3.533,13.333,1.583,0.158,7.950,0.099,8.917,0.313,0.175,NA,17.950,15.900,7.900,10.200,87.000,790.000,57.000,5.200,22.000,2.000,0.340,8.500,0.130,9.700,0.410,0.280,NA,43.000,6.100,7.800,7.600,76.000,692.000,53.000,1.500,8.000,0.500,0.040,7.200,0.078,8.000,0.200,0.120,NA,5.700,6.100,7.800,10.200,82.000,790.000,57.000,5.200,8.000,1.000,0.040,8.200,0.096,8.800,0.200,0.120,NA,7.000
SITE_2,424500,2016,10.440,7.680,7.500,65.400,609.600,51.400,20.200,1.400,0.774,3.860,0.131,4.780,0.308,0.206,66.200,NA,20.600,18.200,7.800,9.900,80.000,788.000,74.000,28.000,2.000,1.500,5.300,0.240,6.600,0.390,0.270,88.000,NA,31.000,5.700,7.500,5.000,53.000,498.000,36.000,11.000,1.000,0.250,2.300,0.044,3.200,0.240,0.130,49.000,NA,12.000,6.300,7.700,7.900,63.000,739.000,59.000,16.000,2.000,1.500,3.700,0.100,4.900,0.240,0.210,88.000,NA,12.000
SITE_3,417000,2016,12.858,7.300,8.050,75.333,434.750,54.750,3.400,25.917,2.125,2.251,6.667,0.257,8.925,0.411,0.185,35.917,34.475,20.100,7.500,10.600,92.000,475.000,66.000,6.500,65.000,3.600,3.300,9.200,0.580,12.000,0.900,0.290,67.000,160.000,5.100,7.200,6.200,56.000,329.000,33.000,2.100,14.000,1.000,0.570,4.600,0.069,6.600,0.210,0.110,22.000,6.100,12.100,7.200,6.200,56.000,447.000,62.000,NA,18.000,2.000,2.500,7.800,0.380,10.000,0.320,0.150,27.000,7.300
SITE_4,437000,2017,13.086,7.800,7.729,72.857,515.577,68.500,5.767,25.000,5.600,5.000,3.317,0.126,9.067,0.852,0.552,106.833,18.833,17.300,7.900,9.500,81.000,993.000,79.000,8.400,31.000,7.500,6.700,5.800,0.160,10.000,1.100,0.760,120.000,26.000,7.900,7.700,6.600,67.000,1.001,49.000,3.900,20.000,2.500,2.500,1.700,0.092,6.700,0.570,0.280,71.000,14.000,9.700,7.700,8.600,77.000,993.000,69.000,3.900,28.000,2.500,2.500,5.800,0.150,8.500,0.580,0.350,110.000,26.000
SITE_5,449200,2015,11.750,8.000,10.617,96.833,896.167,71.333,NA,14.000,1.000,0.303,4.717,0.074,5.167,0.237,0.140,91.500,15.750,19.100,8.100,12.700,106.000,940.000,78.000,NA,18.000,1.000,0.790,5.700,0.130,6.700,0.280,0.190,100.000,31.000,4.300,7.900,9.000,92.000,835.000,57.000,NA,10.000,1.000,0.100,3.400,0.027,3.700,0.160,0.081,75.000,7.400,10.400,7.900,10.700,95.000,937.000,78.000,NA,10.000,1.000,0.350,5.700,0.053,6.700,0.190,0.150,100.000,8.100
SITE_6,454780,2017,13.557,7.471,8.914,84.571,340.714,43.333,2.075,29.000,1.167,0.252,0.812,0.030,1.617,0.202,0.046,33.667,16.783,18.400,7.900,12.000,103.000,373.000,51.000,2.700,46.000,2.000,0.480,1.100,0.049,2.800,0.380,0.073,39.000,44.000,8.100,7.000,5.500,57.000,254.000,34.000,1.500,20.000,1.000,0.060,0.570,0.020,1.300,0.100,0.022,31.000,4.700,8.900,7.000,8.800,77.000,254.000,34.000,2.200,46.000,2.000,0.370,1.100,0.020,2.800,0.300,0.073,31.000,44.000
SITE_7,429900,2016,11.750,8.031,9.708,88.417,716.333,48.000,NA,16.583,1.083,0.393,2.217,0.058,2.775,0.188,0.099,56.417,19.958,15.900,8.200,11.900,91.000,802.000,59.000,NA,25.000,2.000,0.960,2.900,0.160,3.600,0.360,0.170,110.000,49.000,4.200,8.000,8.400,83.000,647.000,37.000,NA,6.000,1.000,0.110,1.700,0.025,1.900,0.100,0.023,37.000,7.800,11.700,8.000,9.900,90.000,706.000,42.000,NA,17.000,2.000,0.960,2.300,0.030,3.300,0.120,0.150,47.000,13.000
SITE_9,429900,2016,12.008,8.000,9.383,87.000,800.333,65.250,NA,21.917,1.167,0.468,5.175,0.163,6.083,0.427,0.228,89.417,98.000,20.500,8.100,11.300,96.000,906.000,79.000,NA,60.000,2.000,1.100,6.300,0.270,7.300,0.960,0.310,110.000,510.000,5.300,7.800,7.000,79.000,547.000,44.000,NA,7.000,1.000,0.150,3.800,0.070,4.100,0.230,0.180,61.000,19.000,11.900,8.100,9.100,86.000,901.000,78.000,NA,13.000,1.000,0.250,6.200,0.180,6.900,0.320,0.230,100.000,22.000
SITE_11,433040,2017,13.550,7.817,6.767,63.167,527.667,44.000,7.000,45.500,4.333,3.233,1.413,0.099,5.750,0.667,0.442,61.000,18.533,18.200,8.300,11.400,114.000,691.000,50.000,16.000,92.000,8.300,6.900,4.200,0.200,8.800,1.700,1.200,99.000,28.000,7.100,7.600,2.200,23.000,406.000,31.000,2.300,20.000,1.000,0.600,0.400,0.029,2.600,0.270,0.110,32.000,9.200,10.000,7.800,8.700,78.000,547.000,49.000,2.300,30.000,1.000,0.600,4.200,0.110,5.000,0.320,0.290,70.000,9.200
SITE_12,486050,2014,14.957,7.429,6.557,65.857,229.005,200.000,3.750,50.500,5.092,5.365,11.733,0.272,16.100,1.158,0.732,77.833,15.500,19.200,7.600,7.100,73.000,907.000,250.000,5.200,79.000,15.930,13.000,24.000,0.356,22.000,1.600,1.150,97.000,21.000,9.900,7.200,6.000,59.000,1.038,140.000,2.200,18.000,0.500,0.690,0.100,0.044,8.600,0.480,0.190,46.000,11.000,9.900,7.600,6.800,60.000,907.000,150.000,4.200,79.000,15.930,13.000,0.100,0.044,16.000,1.600,1.150,64.000,21.000
