Site;VMM;Year;T_min;pH_min;O2_min;O2_sat_min;Con_min;Cl-_min;COD_min;KjN_min;NH4+_min;NO3-_min;NO2-_min;Nt_min;Pt_min;oPO4_min;SM_min;T;pH;O2;O2_sat;Con;Cl-;COD;KjN;NH4+;NO3-;NO2-;Nt;Pt;oPO4;SM;T_max;pH_max;O2_max;O2_sat_max;Con_max;Cl-_max;COD_max;KjN_max;NH4+_max;NO3-_max;NO2-_max;Nt_max;Pt_max;oPO4_max;SM_max;T_av;pH_av;O2_av;O2_sat_av;Con_av;Cl-_av;COD_av;KjN_av;NH4+_av;NO3-_av;NO2-_av;Nt_av;Pt_av;oPO4_av;SM_av
SITE 1;426400;2015;6.1;7.8;7.6;76;692;53;8;0.5;0.04;7.2;0.078;8;0.2;0.12;5.7;6.1;7.8;10.2;82;790;57;8;1;0.04;8.2;0.096;8.8;0.2;0.12;7;15.9;7.9;10.2;87;790;57;22;2;0.34;8.5;0.13;9.7;0.41;0.28;43;11.114;7.829;8.843;81.286;740.714;54.667;13.333;1.583;0.158;7.95;0.099;8.917;0.313;0.175;17.95
SITE 2;424500;2016;5.7;7.5;5;53;498;36;1;0.25;0.25;2.3;0.044;3.2;0.24;0.13;12;6.3;7.7;7.9;63;739;59;2;1.5;1.5;3.7;0.1;4.9;0.24;0.21;12;18.2;7.8;9.9;80;788;74;2;1.5;1.5;5.3;0.24;6.6;0.39;0.27;31;10.44;7.68;7.5;65.4;609.6;51.4;1.4;0.774;0.774;3.86;0.131;4.78;0.308;0.206;20.6
SITE 3;417000;2016;5.1;7.2;6.2;56;329;33;14;1;0.57;4.6;0.069;6.6;0.21;0.11;6.1;12.1;7.2;6.2;56;447;62;18;2;2.5;7.8;0.38;10;0.32;0.15;7.3;20.1;7.5;10.6;92;475;66;65;3.6;3.3;9.2;0.58;12;0.9;0.29;160;12.858;7.3;8.05;75.333;434.75;54.75;25.917;2.125;2.251;6.667;0.257;8.925;0.411;0.185;34.475
SITE 4;437000;2017;7.9;7.7;6.6;67;667;49;20;2.5;2.5;1.7;0.092;6.7;0.57;0.28;14;9.7;7.7;8.6;77;993;69;28;2.5;2.5;5.8;0.15;8.5;0.58;0.35;26;17.3;7.9;9.5;81;1010;79;31;7.5;6.7;5.8;0.16;10;1.1;0.76;26;13.086;7.8;7.729;72.857;949;68.5;25;5.6;5;3.317;0.126;9.067;0.852;0.552;18.833
SITE 5;449200;2015;4.3;7.9;9;92;835;57;10;1;0.1;3.4;0.027;3.7;0.16;0.081;7.4;10.4;7.9;10.7;95;937;78;10;1;0.35;5.7;0.053;6.7;0.19;0.15;8.1;19.1;8.1;12.7;106;940;78;18;1;0.79;5.7;0.13;6.7;0.28;0.19;31;11.75;8;10.617;96.833;896.167;71.333;14;1;0.303;4.717;0.074;5.167;0.237;0.14;15.75
SITE 6;454780;2017;8.1;7;5.5;57;254;34;20;1;0.06;0.57;0.02;1.3;0.1;0.022;4.7;8.9;7;8.8;77;254;34;46;2;0.37;1.1;0.02;2.8;0.3;0.073;44;18.4;7.9;12;103;373;51;46;2;0.48;1.1;0.049;2.8;0.38;0.073;44;13.557;7.471;8.914;84.571;340.714;43.333;29;1.167;0.252;0.812;0.03;1.617;0.202;0.046;16.783
SITE 7;403000;2016;4.2;8;8.4;83;647;37;6;1;0.11;1.7;0.025;1.9;0.1;0.023;7.8;11.7;8;9.9;90;706;42;17;2;0.96;2.3;0.03;3.3;0.12;0.15;13;15.9;8.2;11.9;91;802;59;25;2;0.96;2.9;0.16;3.6;0.36;0.17;49;11.75;8.031;9.708;88.417;716.333;48;16.583;1.083;0.393;2.217;0.058;2.775;0.188;0.099;19.958
SITE 9;429900;2016;5.3;7.8;7;79;547;44;7;1;0.15;3.8;0.07;4.1;0.23;0.18;19;11.9;8.1;9.1;86;901;78;13;1;0.25;6.2;0.18;6.9;0.32;0.23;22;20.5;8.1;11.3;96;906;79;60;2;1.1;6.3;0.27;7.3;0.96;0.31;510;12.008;8;9.383;87;800.333;65.25;21.917;1.167;0.468;5.175;0.163;6.083;0.427;0.228;98
SITE 11;433040;2017;7.1;7.6;2.2;23;406;31;20;1;0.6;0.4;0.029;2.6;0.27;0.11;9.2;10;7.8;8.7;78;547;49;30;1;0.6;4.2;0.11;5;0.32;0.29;9.2;18.2;8.3;11.4;114;691;50;92;8.3;6.9;4.2;0.2;8.8;1.7;1.2;28;13.55;7.817;6.767;63.167;527.667;44;45.5;4.333;3.233;1.413;0.099;5.75;0.667;0.442;18.533
SITE 12;486050;2014;9.9;7.2;6;59;690;140;18;0.5;0.69;0.1;0.044;8.6;0.48;0.19;11;9.9;7.6;6.8;60;907;150;79;15.93;13;0.1;0.044;16;1.6;1.15;21;19.2;7.6;7.1;73;1288;250;79;15.93;13;24;0.356;22;1.6;1.15;21;14.957;7.429;6.557;65.857;1089.857;200;50.5;5.092;5.365;11.733;0.272;16.1;1.158;0.732;15.5
SITE 13;483800;2017;6.8;7.7;7.6;76;1050;51;6;1;0.37;4;0.11;4.7;0.19;0.11;1.5;6.8;7.8;10.5;85;1050;200;14;2;1;6;0.23;7.5;0.19;0.13;1.5;19.7;7.9;10.6;102;1050;200;17;2;1;6.5;0.23;7.6;0.5;0.35;8.5;14.486;7.829;9.214;90.429;771.7142857;88.833;11.333;1.333;0.668;5.6;0.178;6.533;0.288;0.2;5.433
SITE 14;407000;2016;6.5;7.5;6.6;66;307;30;18;2;0.8;3.2;0.061;4.6;0.36;0.11;20;6.6;7.5;9.2;73;563;57;18;2.3;3;4.4;0.14;6.8;0.36;0.21;21;18;7.7;11.2;90;593;67;100;5.1;5.2;6.3;0.33;10;1.6;0.47;340;11.983;7.567;8.583;77.667;472.333;47.333;37.167;2.633;2.367;4.4;0.187;7;0.663;0.238;119.667
SITE 15;401000;2016;1.9;7.5;7.3;74;426;29;10;1;0.1;1.5;0.031;1.8;0.1;0.037;4.7;11.3;8;9.8;89;577;43;16;1;0.1;1.7;0.036;2;0.12;0.14;7;17.3;8.1;12.1;90;664;60;68;2;0.96;3;0.2;3.6;0.36;0.18;52;11.577;7.877;9.5;85.308;591.462;47.75;24.667;1.167;0.26;2.108;0.064;2.608;0.198;0.103;17.292
SITE 16;461100;2016;3;7.1;8.3;85;290;22;16;1;0.19;0.59;0.01;0.88;0.05;0.01;6.9;10.1;7.5;9.6;85;425;34;28;1;0.22;1.2;0.02;1.7;0.11;0.031;6.9;17.4;7.6;12;94;596;35;97;2;0.24;2.2;0.024;3;0.33;0.15;36;12.443;7.443;9.429;87.857;462.571;32.333;37.167;1.167;0.21;1.098;0.019;1.73;0.132;0.044;15.15
