"2.5%"	"97.5%"	"beta"
"avlength"	-39701.133611904	45811.6264751304	90.6235376201536
"avcondition"	-852915.822044846	1014188.35105	9.24290267276783
"T_av"	-27117.9574562305	28359.9732171644	16.9960923232992
"O2_sat_av"	-5303.83418535666	5824.37662502134	9.14621077904636
"Con_av"	-1507.47952121491	1602.39196458815	4.30816616796284
"COD_av"	-14621.7653162085	14486.8568639668	9.42279168334193
"NH4._av"	-224416.817963136	238173.684461461	-255.3939741473
"Nt_av"	-42360.5972687028	48644.5959874102	35.6753530781859
"SM_av"	-2188.60167469887	2211.56871949015	-1.11855970796187
"pool_riffle1"	-138731.766560126	143619.844486506	81.2522669227558
