Condition	Length	Gyrodactylus abundance	Gyrodactylus prevalence	Gyrodactylus infection intensity	Trichodina abundance	Trichodina prevalence	Trichodina infection intensity	Glugea	Contracaecum	Aguillicola			
         NA	         NA	-0.27438301	-0.16505454	-0.03182937	-0.09522830	-0.04964124	-0.15401436	 0.16416585	 0.12525768	 0.04970703	-0.18407797	-0.08746218	-0.05154708
         NA	         NA	-0.39853588	-0.12618473	-0.03096679	-0.08799888	 0.04391115	-0.14009255	 0.10377870	 0.02953145	-0.02133789	-0.25308333	-0.08713067	 0.05627127
-0.03510983	-0.20568353	-0.14548688	-0.07947200	-0.04973571	-0.08749274	-0.04505200	 0.12338402	 0.11807505	 0.02667899	 0.09785156	-0.09775123	 0.06879333	 0.10577645
-0.03558328	-0.14919951	 0.16800435	-0.10229582	-0.02923347	 0.10388157	 0.05365040	-0.15038379	 0.14496256	 0.06097886	 0.03388672	 0.12178444	 0.08142302	 0.06407490
 0.04447949	-0.50559927	 0.58694894	 0.60228723	 0.02492971	 0.44474702	 0.22519076	 0.91584517	 0.35351595	 0.03075839	-0.03422852	 0.26023872	 0.21260502	 0.07127832
 0.03703275	-0.15457262	 0.83876904	 0.19417834	 0.03635567	 0.29447953	 0.05240501	 0.40521762	-0.11993222	-0.03291821	-0.02873535	 0.74693158	 0.34727201	-0.06012027
-0.04508996	-0.22360660	-0.18827826	 0.08759572	 0.02911874	 0.42904161	 0.17771467	 0.73154421	-0.18665387	 0.02895471	-0.11452637	-0.12699556	 0.09223122	-0.08055854
 0.04191956	 0.28523510	 0.37480263	 0.11369000	 0.02959741	 0.16222679	 0.08304204	-0.15912242	 0.22326701	-0.02812931	-0.07343750	 0.23096503	 0.15914821	-0.14574936
-0.09550896	 0.22279486	 0.18553735	 0.14323560	 0.05005671	 0.11771418	 0.04241567	 0.15999638	 0.10906055	-0.03097022	-0.13217773	 0.12045038	 0.23636451	 0.11082477
 0.15277709	 0.32862597	-0.14986996	-0.10263044	 0.02542698	-0.09635578	-0.04454922	-0.20658059	-0.50131858	 0.02658164	-0.09689941	 0.10260151	-0.07144135	 0.10909498
-0.04081614	-0.59346177	 0.23957823	 0.12269007	 0.04211509	-0.17493753	-0.07750774	-0.20711529	-0.12701851	-0.03932727	-0.15893555	 0.15759977	 0.07686418	-0.05409596
 0.04979535	-0.15710763	 0.14767229	-0.07331212	 0.05729429	-0.08800070	-0.07773812	 0.13025332	-0.17234792	-0.02871977	-0.30356445	-0.09754157	-0.07284395	-0.10659685
