"","vmm","year","T_av","pH_av","O2_av","O2_sat_av","con_av","Cl_av","BOC_av","COD_av","KjN_av","NH4_av","NO3_av","NO2_av","Nt_av","Pt_av","oPO4_av","SO4_av","SM_av","T_max","pH_max","O2_max","O2_sat_max","con_max","Cl_max","BOC_max","COD_max","KjN_max","NH4_max","NO3_max","NO2_max","Nt_max","Pt_max","oPO4_max","SO4_max","SM_max","T_min","pH_min","O2_min","O2_sat_min","con_min","Cl_min","BOC_min","COD_min","KjN_min","NH4_min","NO3_min","NO2_min","Nt_min","Pt_min","oPO4_min","SO4_min","SM_min","T","pH","O2","O2_sat","con","Cl","BOC","COD","KjN","NH4","NO3","NO2","Nt","Pt","oPO4","SO4","SM","site","updist","netcen","updist2","Updist3"
"vmm",1,-0.123200766851204,0.0904338162479175,0.0133085247252261,0.231877692986263,0.274274985627416,0.000347111239522146,0.0491277371889947,-0.0421024945438654,-0.0577311621842353,-0.0357850769339763,-0.0398634838131249,0.217053627466238,-0.0251657261715065,0.132145457060659,-0.0537585279787741,-0.0172362660959851,0.19404638741066,-0.310800516074818,0.00946092723147831,0.0037229072809232,0.0378214212475504,0.136133508930372,0.0868785264367606,0.0461254657196416,-0.105340307262394,-0.0504005933341327,0.0551096529283269,-0.039130397031218,0.259753999270458,-0.0390484733026543,0.10643877940411,-0.115102575422572,-0.0192638243685856,0.256805539597509,-0.111891830975808,0.135785169020233,0.0362710933467566,0.273565537715026,0.269459856759129,-0.051224472072544,0.00249389845785819,0.0111716613597453,-0.160216034192288,-0.13191614276546,-0.0562487853648042,-0.0214186741895358,-0.0286088480452567,0.0203523529236639,-0.106834212389227,-0.0177375854242635,-0.0227935629583772,-0.620658573693311,-0.117768317967375,-0.0320541515610252,0.201776517371309,0.179533702392202,0.0409248993458345,0.15016685115193,0.0750617838540362,0.105889170174689,0.137200150062471,0.0759933697656373,0.104461222175189,-0.029745983616579,0.176114743546805,0.00424397218789148,-0.016582662533666,0.263423532844068,-0.17750640606292,-0.285235363218781,0.239904417052057,0.236181588141928,0.0380560726473906,0.0514746059199109
"year",-0.123200766851204,1,0.41364756080204,-0.223291731134142,-0.361331310555863,-0.264225407847315,-0.201676255212191,-0.275627799041681,0.125397738768968,0.225086859477296,0.1850105397978,0.1539266996718,-0.309417498570856,0.00627250244319772,-0.258076359700574,0.0502402620222014,0.000160950187721673,-0.125240783872543,0.0558659256290129,0.24242192036174,-0.146455358489077,-0.0685882502982525,-0.00757572232286922,-0.249258863918096,-0.309975997729395,0.166457822468867,0.233309958537363,0.0363103818756844,0.141146564170294,-0.259342109091445,0.0142162492035476,-0.0587549326963672,0.130325939967083,0.00283495764797322,-0.105721962209246,0.0269948780413949,0.156433186031912,-0.210521434803571,-0.345937162203702,-0.325392008734527,-0.271355005449344,-0.227133692378342,0.0768180080724677,0.325216179567702,0.377440936409007,0.252655130664235,-0.158105045785314,0.00707205911801232,-0.229460867316569,0.0676555101079568,0.000801091704128171,-0.0578761226125282,-0.031755655933891,0.0424105609985432,-0.288786022754165,-0.144289861224653,-0.140024050880889,-0.315519768201267,-0.0772979305922062,0.0448146042665857,0.0691950891158674,-0.183023296642389,-0.149817874828172,-0.0658695190366864,0.0197060279635293,-0.364709606111467,-0.0605967811279451,-0.00201287924752669,-0.023209968927477,0.120221367307283,0.109370543778046,-0.237659465973943,-0.222711360029153,-0.160396578477021,0.151422476330836
"T_av",0.0904338162479175,0.41364756080204,1,0.0791663076651409,-0.274525165660733,-0.0182378599036177,-0.0775915476840447,0.261456886822624,-0.377870659452953,0.174444782028482,0.193505693553766,0.147703457091434,0.126860820422212,-0.228744572420585,0.231131835523667,0.18729275500081,-0.244160776201507,0.186380044598598,-0.122670515581656,0.531515553338641,0.105118642707139,-0.116160724240704,0.234443244875405,0.111087495970668,0.198172711964733,-0.348664141810212,0.0826201671580581,0.223548568736251,0.282140298839141,0.250790479308217,-0.23413918070355,0.391227837202414,0.0530408311240579,-0.245938274951875,0.0915901649155876,-0.163832380063693,0.578795344871525,0.089567017853867,-0.185006506643612,-0.152109451517875,-0.118511429056449,0.330813562757277,-0.386944941887461,0.258494013815358,-0.0187177586639441,0.0136511954600123,-0.0640303675492409,-0.238906065087957,0.130388784215425,0.176292595789976,-0.245005633720817,0.220055614326974,-0.043038792954447,0.490949526498933,0.0663501789405812,-0.352974294445645,-0.178308080118997,-0.0082079406444243,0.338733750605483,-0.347105367339081,0.218311962331625,0.264939579940244,0.190446381131995,0.00913952333550281,-0.222791637626794,0.25176290135609,0.377664992624515,-0.242463076680439,0.125014786542387,-0.0425299470466747,0.22625214297721,-0.483928888833973,-0.00758033832675258,-0.3899608307148,-0.12998312174477
"pH_av",0.0133085247252261,-0.223291731134142,0.0791663076651409,1,0.498301318438528,0.531898865000158,0.858196650552299,0.145729635904411,0.00746336996025119,-0.523695246777668,-0.208388570179541,-0.267385491318706,0.182522183343208,-0.0192930020645366,0.0463978856389882,-0.208306513741804,-0.0211051129955631,0.658238266350925,-0.107709429367828,0.024787673243603,0.908913718553663,0.522625350947076,0.481157759188242,0.763375070284741,0.174369253495248,0.0493063793170358,-0.551748088111463,-0.248867676163395,-0.286506281258073,0.0274146754846003,-0.0362528674559915,-0.104681072721418,-0.231487429538714,-0.0212470330636857,0.59748611081571,-0.0668180689567307,0.0325645679438138,0.95083661360353,0.281989436244589,0.370953296967135,0.572171511596627,0.197267947322666,0.0280957015378822,-0.326002407027166,-0.0793182327889481,-0.12419746449833,0.330317903462287,-0.00320447872512867,0.117205846916309,-0.0835743158831955,-0.0207190370374699,0.691726246638992,-0.0278699446068964,0.130314780681386,0.929537006139085,0.436469868339993,0.568591101298664,0.573053594418612,0.171729291377493,-0.17266149159189,-0.264354441290021,-0.248547044727921,-0.290289926727468,0.361365782758383,-0.0412384629299123,0.084017388938866,-0.127424927077591,-0.0211003118307717,0.624876672822642,0.0321380807172345,0.139558589517987,0.252530557534263,0.449228821476494,0.333134196801875,0.0654704634644876
"O2_av",0.231877692986263,-0.361331310555863,-0.274525165660733,0.498301318438528,1,0.96310215864868,0.411482657092834,-0.258771227546241,-0.307809175248858,-0.555962872863968,-0.661394704526019,-0.666437296517909,0.173353964017263,-0.139736427514013,-0.177387972022273,-0.670544586280742,-0.134995070553176,0.292759814162461,-0.0531281553224619,-0.314601962519723,0.316150041355578,0.607047709597564,0.454953202424326,0.111800139516034,-0.171102177391628,-0.429982342364856,-0.538105653995718,-0.63637604329715,-0.695981027941128,-0.0449926609862398,-0.160712384120945,-0.355711005040158,-0.716465754041605,-0.143453780555856,0.326258384549744,0.0121031578302001,-0.12437277887555,0.512553003864999,0.82914285946591,0.856520507618231,0.490594070331048,-0.212285282680882,-0.129788271322141,-0.577437118796895,-0.214249118613654,-0.497376931515942,0.392326271928616,-0.118597525729483,-0.0622359694246622,-0.541248248171906,-0.130499239355562,0.346774543240579,-0.125480255357663,0.0660325916966721,0.39218682247276,0.607950923149525,0.70587892830744,0.0645379698292009,-0.128385797820658,-0.190066314576611,-0.364049005257989,-0.39149988277559,-0.468495071351811,0.310635048238785,-0.161624401350355,-0.0799998757828997,-0.450496459361734,-0.131455257236649,0.299883556242981,0.0433058196552826,-0.0400783791805254,0.447704012858885,0.372019307214512,0.343765029568429,-0.0248268981947387
"O2_sat_av",0.274274985627416,-0.264225407847315,-0.0182378599036177,0.531898865000158,0.96310215864868,1,0.412812261604042,-0.195443145624144,-0.403350639281279,-0.555264012406933,-0.62543442392694,-0.654230521938825,0.232639906138047,-0.196734214676631,-0.10887418313596,-0.652153410671456,-0.19545964203234,0.33637112642731,-0.0953654772470868,-0.205134804131175,0.346432046222093,0.583701920008904,0.542072410188855,0.149299853940133,-0.12847173017127,-0.523521662734337,-0.566504440176648,-0.591791501704471,-0.656502955373454,0.0299555456805825,-0.221123352653743,-0.267541049173929,-0.737090735564196,-0.2047648819629,0.346390664861887,-0.0297440465327638,0.0617274152252264,0.559300248608601,0.826599439096597,0.861304193160459,0.483757915933408,-0.123856845981464,-0.222808450365138,-0.548598545911694,-0.230813000206427,-0.517123338337792,0.413622467517639,-0.176995785177895,-0.0108071777571339,-0.5185848541951,-0.191031194586531,0.399014010267871,-0.145917638897289,0.189948574043163,0.414160167276152,0.522314784013136,0.668204758007107,0.0772813661005898,-0.0324373358678658,-0.263478984802887,-0.330906599367512,-0.321502535308602,-0.424439539264578,0.340893974549384,-0.217332609746165,0.00347885980325108,-0.363403695469344,-0.191253579988619,0.331091574333054,0.00908189537017544,0.027352590334258,0.330211311029195,0.402917882347335,0.238776097335169,-0.0747137226220975
"con_av",0.000347111239522146,-0.201676255212191,-0.0775915476840447,0.858196650552299,0.411482657092834,0.412812261604042,1,0.0292251585678809,0.0923065963102752,-0.600032976563364,-0.325281265225081,-0.376133524472143,0.128728483514,0.00986733789407788,-0.0456383666259223,-0.275462305250407,0.0122588809244463,0.590199318345345,-0.0518607298485524,0.0290958083854922,0.79636547204929,0.462953270276084,0.389823886990024,0.765829659905826,0.0498770637318951,0.178273767608514,-0.531156690180498,-0.389472211667992,-0.418044273842256,-0.0887391341587058,0.00669432895634129,-0.186138142912072,-0.177605487403103,0.0126220037755014,0.56039793809998,0.0248427651975861,-0.107094686219682,0.828593382687927,0.204692647168103,0.258500778358603,0.709715917579217,0.0902287458356357,0.0508542170753842,-0.385449082749583,-0.0782775098818543,-0.179497112734867,0.462215906049893,0.0270892996115018,0.0883764561900875,-0.143052538193979,0.0142970331981886,0.676462069926391,-0.0629820503352728,0.101285103132726,0.816938488775028,0.344908512222112,0.440549532207746,0.618466866932961,0.12247227408533,-0.0373500198910466,-0.421181947410037,-0.394972776629519,-0.408754145900471,0.427349521958698,0.00768118677251767,0.0249394377982945,-0.264066490937863,0.0114669430608075,0.586117895373334,-0.0124418672303218,0.137573546397069,0.339781159346642,0.406546787210788,0.319937295020118,0.130214956420147
"Cl_av",0.0491277371889947,-0.275627799041681,0.261456886822624,0.145729635904411,-0.258771227546241,-0.195443145624144,0.0292251585678809,1,-0.0208899595250859,0.226190999665208,0.477910338773257,0.475525740525539,0.471126340352976,-0.0084566318050532,0.575013527221365,0.6634396648069,-0.0379785239827109,0.260097560519185,-0.121730381901515,0.245875572761872,0.154520857485574,-0.3817557818046,-0.170802591234676,0.550815029054512,0.906611915705903,-0.0197632144302755,0.0353006998332978,0.655352377639033,0.535277849108067,0.615613563830907,-0.0132578197855088,0.50585017665768,0.436706079477865,-0.0340425293882265,0.114902771400534,-0.077627046362753,0.209286144710158,0.140043567571018,-0.0953029176877832,-0.0925571145216312,-0.289603111993003,0.941320116203387,-0.0460133314477177,0.214394348809998,-0.076189368737242,0.172059247952374,-0.0998425327094482,-0.0363554250489099,0.459756579604347,0.577707430289813,-0.0440863598029753,0.270541078816615,-0.0122760927194916,0.0778993279795173,0.272507953232835,-0.106747825281534,-0.084029031609972,0.370462856690197,0.75412329873183,0.00576241965830166,0.461128497915246,0.758387874968103,0.698282585682756,-0.119019356699159,-0.0310858268598225,0.528008997937629,0.794400285986418,-0.0376796798679908,0.112797872795817,-0.0263675169469083,-0.00041828882919653,-0.1802260538422,0.106147449607078,-0.163417193502278,-0.0618695251093835
"BOC_av",-0.0421024945438654,0.125397738768968,-0.377870659452953,0.00746336996025119,-0.307809175248858,-0.403350639281279,0.0923065963102752,-0.0208899595250859,1,-0.176451268384652,0.0905869383920427,0.495477671708625,-0.367914171637057,0.896172124977326,-0.29652668723681,0.0979206442044825,0.903641420751067,0.527862406274218,-0.0743922492899682,-0.0540697312187974,0.0216504362781622,-0.114114730294609,-0.197149107880318,0.235443434484107,-0.0542948410053909,0.942144861568151,-0.116693521859883,0.0847608477392853,0.285549503242233,-0.268456916637236,0.892993704241651,-0.299159664279307,0.136155472240153,0.908683774424919,0.581026375642465,-0.163336569994121,-0.169819394600276,0.0359684368057869,-0.31212726125069,-0.285771224668162,-0.00894516249957821,-0.0502537992018188,0.954920002628684,-0.154004997777841,-0.143019180351279,0.736293146468093,-0.379971376290872,0.896886525694372,-0.334624575234711,0.0830473135774696,0.901473388672389,0.416660600140721,0.0475215839892879,-0.343117319124322,0.0327051700548176,-0.0990034265739534,-0.245475429967287,0.213693601349828,-0.0696260797245064,0.891627736419978,-0.17448405281259,-0.0230518044115695,0.181745282507472,-0.31134642676674,0.894761310615887,-0.322193688658129,-0.0239991387121081,0.900583016034729,0.526903583985839,-0.0460959879425807,-0.254919398170686,0.181957199496935,-0.0554107796407589,0.390427503937425,0.424670935505193
"COD_av",-0.0577311621842353,0.225086859477296,0.174444782028482,-0.523695246777668,-0.555962872863968,-0.555264012406933,-0.600032976563364,0.226190999665208,-0.176451268384652,1,0.580220260031494,0.413269428649165,-0.0827384948080785,-0.330797639317046,0.2034721413721,0.671486540709695,-0.336303702030659,-0.247398293843908,0.278379671452869,0.202128773873095,-0.318075135073993,-0.400165995579212,-0.323390524059812,-0.284425912613061,0.0904499928756964,-0.0349787454387245,0.871726596060281,0.639455011870172,0.530250518268905,0.181657116930965,-0.313285835312375,0.363259385432894,0.625254158274995,-0.330647455984282,-0.266783029825097,0.171566398347079,-0.0476362372770643,-0.585343774776755,-0.464185605053968,-0.490686845992185,-0.529636663725892,0.173729555695118,-0.30456399013157,0.773636153792874,0.229726001153996,0.0991161433519152,-0.462677160721884,-0.356401362644651,0.0373790542509745,0.518032594272445,-0.340615584635955,-0.377395765015254,0.195663136780248,-0.048120973629787,-0.428418048829007,-0.231605335143353,-0.297409504663996,-0.190884941907111,-0.0130758741436607,-0.301626373873178,0.697579518414459,0.423662659213227,0.391192821850059,-0.37676015836265,-0.32932193782026,0.0665608288091249,0.496687676769316,-0.338183347507295,-0.321289491459481,0.233648928425574,-0.014904619951693,-0.194075916943441,-0.343127029271354,-0.2763989256734,0.0158320348245238
