,T_av,con_av,O2_sat_av,Cl_av,COD_av,NH4_av,NO3_av,NO2_av,SO4_av,site,updist,netcen,updist2,Updist3
T_av,1,-0.077591548,-0.01823786,0.261456887,0.174444782,0.147703457,0.12686082,-0.228744572,0.186380045,0.226252143,-0.483928889,-0.007580338,-0.389960831,-0.129983122
con_av,-0.077591548,1,0.412812262,0.029225159,-0.600032977,-0.376133524,0.128728484,0.009867338,0.590199318,0.137573546,0.339781159,0.406546787,0.319937295,0.130214956
O2_sat_av,-0.01823786,0.412812262,1,-0.195443146,-0.555264012,-0.654230522,0.232639906,-0.196734215,0.336371126,0.02735259,0.330211311,0.402917882,0.238776097,-0.074713723
Cl_av,0.261456887,0.029225159,-0.195443146,1,0.226191,0.475525741,0.47112634,-0.008456632,0.260097561,-0.000418289,-0.180226054,0.10614745,-0.163417194,-0.061869525
COD_av,0.174444782,-0.600032977,-0.555264012,0.226191,1,0.413269429,-0.082738495,-0.330797639,-0.247398294,-0.01490462,-0.194075917,-0.343127029,-0.276398926,0.015832035
NH4_av,0.147703457,-0.376133524,-0.654230522,0.475525741,0.413269429,1,0.108194307,0.356255207,0.061891971,-0.277751288,-0.175685332,-0.192767676,-0.114459769,-0.037297888
NO3_av,0.12686082,0.128728484,0.232639906,0.47112634,-0.082738495,0.108194307,1,-0.182402201,0.262888375,-0.18286643,-0.04936592,0.13852335,-0.183408591,-0.123413222
NO2_av,-0.228744572,0.009867338,-0.196734215,-0.008456632,-0.330797639,0.356255207,-0.182402201,1,0.091295281,-0.277274357,0.061256369,-0.134797151,0.139953093,0.154431437
SO4_av,0.186380045,0.590199318,0.336371126,0.260097561,-0.247398294,0.061891971,0.262888375,0.091295281,1,-0.059545025,0.359640563,0.472674174,0.100439327,0.153789181
site,0.226252143,0.137573546,0.02735259,-0.000418289,-0.01490462,-0.277751288,-0.18286643,-0.277274357,-0.059545025,1,-0.4514424,0.115226783,-0.286978348,0.033145656
updist,-0.483928889,0.339781159,0.330211311,-0.180226054,-0.194075917,-0.175685332,-0.04936592,0.061256369,0.359640563,-0.4514424,1,0.40906031,0.700921162,-0.126905305
netcen,-0.007580338,0.406546787,0.402917882,0.10614745,-0.343127029,-0.192767676,0.13852335,-0.134797151,0.472674174,0.115226783,0.40906031,1,0.482216113,-0.506460255
updist2,-0.389960831,0.319937295,0.238776097,-0.163417194,-0.276398926,-0.114459769,-0.183408591,0.139953093,0.100439327,-0.286978348,0.700921162,0.482216113,1,-0.164963999
Updist3,-0.129983122,0.130214956,-0.074713723,-0.061869525,0.015832035,-0.037297888,-0.123413222,0.154431437,0.153789181,0.033145656,-0.126905305,-0.506460255,-0.164963999,1
