"2.5%"	"97.5%"	"beta"
"T_av"	-5.801509127739e-05	0.0173465270067748	0.00179238030205897
"O2_sat_av"	-0.000180908694640585	5.42880563591413e-07	-5.40175883502375e-05
"Con_av"	0	0	2.6455641662073e-07
"COD_av"	0	3.17680733181091e-07	5.75273542955676e-05
"NH4._av"	0	0	-0.000511164684882955
"Nt_av"	-0.000906076491746495	4.11940276544825e-05	-0.000231249934472917
"pool_riffle1"	-0.0211628931476718	5.47629597744542e-05	-0.00214757226618866
"meander1"	-0.0020798491538005	0.0180396852666069	0.00216220383860739
"netcen"	-1.10579118966962e-06	1.6352482574708e-08	-1.12126775928463e-07
"updist"	0	0	-1.15350315754203e-08
