site;fish;parspeciesrichness;div_shannon;div_simpson;;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;length;confactor;Sex ;PI;gyro;tricho;glugea;ecto_screener;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine;endo_screener
1;1;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;177;49;36.12;F;0.05;0;6;0;KM;0;0;0;0;0;0;0;KM
1;2;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;183;49;37.35;F;0.08;0;10;0;SM;0;0;0;0;0;0;0;SM
1;3;2;0.325082973;0.18;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;166;47;35.32;M;1.5;0;9;0;SM;1;0;0;0;0;0;0;SM
1;4;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;100;40;25;M;0.11;0;13;0;SM;0;0;0;0;0;0;0;SM
1;5;2;0.286835983;0.152777778;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;69;35;19.71;F;1.58;4;44;0;SM;0;0;0;0;0;0;0;SM
1;6;2;0.017073907;0.00485434;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;61;37;16.49;M;6.79;0;410;0;ID;0;1;0;0;0;0;0;ID
1;7;3;0.256403189;0.108381789;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;36;30;12;F;12.78;5;150;4;ID;0;0;0;0;0;0;0;ID
1;8;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;72;38;18.95;M;4.58;0;544;0;ID;0;0;0;0;0;0;0;ID
1;9;2;0.327855402;0.182022112;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;55;32;17.19;F;3.02;8;71;0;SM;0;0;0;0;0;0;0;SM
1;11;0;0;1;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;148;47;31.49;F;0;0;0;0;PH;0;0;0;0;0;0;0;PH
1;12;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;170;45;37.78;F;0.03;0;3;0;PH;0;0;0;0;0;0;0;ID
1;13;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;289;58;49.83;F;0.15;0;18;0;PH;0;0;0;0;0;0;0;PH
1;14;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;300;59;50.85;F;0.17;0;20;0;ID;0;0;0;0;0;0;0;PH
1;15;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;53;40;13.25;M;0.04;0;5;0;ID;0;0;0;0;0;0;0;ID
1;16;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;131;48;27.29;M;0.19;0;22;0;ID;0;0;0;0;0;0;0;ID
1;17;0;0;1;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;214;58;36.9;M;0;0;0;0;ID;0;0;0;0;0;0;0;ID
1;18;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;151;53;28.49;M;0.01;0;1;0;ID;0;0;0;0;0;0;0;ID
1;19;0;0;1;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;265;61;43.44;M;0;0;0;0;ID;0;0;0;0;0;0;0;ID
1;20;1;0;0;;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;160;53;30.19;F;0.04;0;5;0;ID;0;0;0;0;0;0;0;ID
2;1;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;109;43;25.35;M;0.03;0;3;0;SM;0;0;0;0;0;0;0;SM
2;2;2;0.348832096;0.197530864;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;95;40;23.75;F;1.5;0;8;0;SM;1;0;0;0;0;0;0;SM
2;3;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;72;37;19.46;M;3.64;0;0;0;SM;0;0;0;0;0;4;0;SM
2;4;0;0;1;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;76;39;19.49;M;0;0;0;0;ID;0;0;0;0;0;0;0;ID
2;5;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;94;41;22.93;M;0.3;1;0;0;ID;0;0;0;0;0;0;0;ID
2;6;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;102;43;23.72;F;0.27;0;32;0;ID;0;0;0;0;0;0;0;ID
2;7;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;67;36;18.61;M;0.29;0;35;0;KM;0;0;0;0;0;0;0;KM
2;8;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;64;34;18.82;M;0.34;0;40;0;ID;0;0;0;0;0;0;0;ID
2;9;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;89;38;23.42;M;0.05;0;6;0;SM;0;0;0;0;0;0;0;SM
2;11;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;106;41;25.85;M;10;0;0;0;PH;0;0;0;4;0;0;0;PH
2;12;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;29;35;8.29;M;0.03;0;3;0;ID;0;0;0;0;0;0;0;ID
2;13;0;0;1;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;63;42;15;M;0;0;0;0;ID;0;0;0;0;0;0;0;ID
2;14;2;0.693147181;0.5;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;26;34;7.65;F;0.31;1;1;0;ID;0;0;0;0;0;0;0;ID
2;15;1;0;0;;18.2;7.8;788;1.5;0.88;5;50877.1074;52437.11916;33186;19778;7;17;32;5.31;F;0.03;0;4;0;ID;0;0;0;0;0;0;0;ID
