date;site;fish;confactor;weight;length;Sex ;# dorsal spines;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
30/01/2018;1;1;26.34;177;49;F;3;0;6;0;0;0;0;0;0;0;0
25/10/2018;1;2;32.34;183;49;F;3;0;10;0;0;0;0;0;0;0;0
31/10/2018;1;3;30.16;166;47;M;3;0;9;0;1;0;0;0;0;0;0
12/11/2018;1;4;12.66;100;40;M;3;0;13;0;0;0;0;0;0;0;0
19/11/2018;1;5;11.17;69;35;F;3;4;44;0;0;0;0;0;0;0;0
15/06/2017;1;6;-7.98;61;37;M;3;0;410;0;0;1;0;0;0;0;0
15/06/2017;1;7;1.45;36;30;F;3;5;150;4;0;0;0;0;0;0;0
15/06/2017;1;8;-2.9;72;38;M;3;0;544;0;0;0;0;0;0;0;0
19/11/2018;1;9;12;55;32;F;3;8;71;0;0;0;0;0;0;0;0
15/02/2017;1;12;0.29;170;45;F;4;0;3;0;0;0;0;0;0;0;0
20/02/2017;1;13;70.45;289;58;F;3;0;18;0;0;0;0;0;0;0;0
16/02/2017;1;14;74.06;300;59;F;3;0;20;0;0;0;0;0;0;0;0
22/01/2020;1;15;-34.34;53;40;M;3;0;5;0;0;0;0;0;0;0;0
22/01/2020;1;16;-12.21;131;48;M;3;0;22;0;0;0;0;0;0;0;0
22/01/2020;1;18;-29.86;151;53;M;3;0;1;0;0;0;0;0;0;0;0
22/01/2020;1;20;-20.86;160;53;F;3;0;5;0;0;0;0;0;0;0;0
13/11/2018;2;1;1.68;109;43;M;3;0;3;0;0;0;0;0;0;0;0
25/10/2018;2;2;7.66;95;40;F;3;0;8;0;1;0;0;0;0;0;0
13/11/2018;2;3;3.02;72;37;M;3;0;0;0;0;0;0;0;0;4;0
13/06/2017;2;5;0.16;94;41;M;3;1;0;0;0;0;0;0;0;0;0
13/06/2017;2;6;-5.32;102;43;F;3;0;32;0;0;0;0;0;0;0;0
10/04/2018;2;7;3.71;67;36;M;3;0;35;0;0;0;0;0;0;0;0
16/06/2017;2;8;11.38;64;34;M;3;0;40;0;0;0;0;0;0;0;0
29/10/2018;2;9;14.1;89;38;M;3;0;6;0;0;0;0;0;0;0;0
10/01/2017;2;11;12.16;106;41;M;3;0;0;0;0;0;0;4;0;0;0
21/01/2020;2;12;-28.83;29;35;M;3;0;3;0;0;0;0;0;0;0;0
21/01/2020;2;14;-26.62;26;34;F;3;1;1;0;0;0;0;0;0;0;0
21/01/2020;2;15;-26;17;32;F;3;0;4;0;0;0;0;0;0;0;0
21/01/2020;2;17;-12.5;88;42;M;3;1;9;0;0;0;0;0;0;2;0
21/01/2020;2;18;-21.29;42;36;M;3;1;51;0;0;0;0;0;0;0;0
21/01/2020;2;19;-3.02;78;39;M;3;3;10;0;0;0;0;1;0;0;0
21/01/2020;2;20;-34.9;40;38;F;3;1;7;0;0;0;0;0;0;0;0
16/10/2018;3;2;23.16;159;47;M;4;0;6;0;0;0;0;0;0;0;0
16/10/2018;3;3;14.16;150;47;F;3;0;1;0;0;0;0;0;0;0;0
25/10/2018;3;4;28.16;164;47;F;4;0;5;0;0;0;0;0;0;0;0
6/11/2018;3;5;21.73;136;44;M;3;0;4;0;0;0;0;0;0;0;0
16/02/2017;3;11;26.84;185;50;M;3;0;4;0;0;0;0;0;0;0;0
16/02/2017;3;12;21.73;136;44;F;3;0;1;0;0;0;0;0;0;0;0
15/02/2017;3;14;89.79;233;48;F;3;0;120;0;0;0;0;0;0;0;0
17/01/2020;3;15;-19.55;109;46;F;3;0;1;0;0;0;0;0;0;0;0
17/01/2020;3;16;-53.16;105;50;F;3;0;3;0;0;0;0;0;0;0;0
17/01/2020;3;17;-4.55;124;46;F;3;0;3;0;0;0;0;0;0;0;0
17/01/2020;3;18;-7.86;173;53;M;3;0;1;0;1;0;0;0;0;0;0
17/01/2020;3;20;1.34;152;49;F;3;1;3;0;0;0;0;0;0;0;0
5/12/2018;4;1;6.37;45;31;M;3;0;47;0;0;0;0;0;0;0;0
5/12/2018;4;2;-4.29;59;36;M;3;0;22;0;0;0;0;0;0;0;0
13/12/2018;4;3;5.21;36;29;M;3;0;25;0;0;0;0;0;0;0;0
13/12/2018;4;4;1.37;40;31;M;3;0;17;0;0;0;0;0;0;0;0
13/12/2018;4;5;0.73;18;24;M;3;0;151;0;0;0;0;0;0;0;0
13/12/2018;4;6;5.45;40;30;F;3;0;31;0;0;0;0;0;0;0;0
13/12/2018;4;7;4.33;52;33;M;3;0;52;0;0;0;0;0;0;0;0
5/12/2018;4;8;3.43;25;26;F;3;0;44;0;0;0;0;0;0;0;0
5/12/2018;4;9;-0.79;30;29;M;3;0;81;0;0;0;0;0;0;0;0
5/12/2018;4;10;-0.79;30;29;M;3;0;92;0;0;0;0;0;0;0;0
20/02/2017;4;11;4.38;57;34;M;3;0;106;0;0;0;0;0;0;0;0
16/02/2017;4;12;8.37;47;31;F;3;0;77;0;0;0;0;0;0;0;0
4/03/2019;4;15;9.14;190;53;M;3;0;10;0;0;0;0;0;0;0;0
4/03/2019;4;16;-48.58;155;56;F;3;1;5;0;0;0;0;0;0;0;0
4/03/2019;4;17;-22.98;46;37;M;3;0;58;0;0;0;0;0;0;0;0
4/03/2019;4;18;-9.63;29;31;F;3;0;48;0;0;0;0;0;0;0;0
4/03/2019;4;19;-10.37;17;28;M;3;0;104;0;0;0;0;0;0;0;0
4/03/2019;4;20;-7.37;20;28;F;3;0;15;0;0;0;0;0;0;0;0
18/12/2018;5;1;6.16;100;41;F;3;0;39;0;0;0;0;0;0;0;0
18/12/2018;5;2;3.43;25;26;M;3;0;17;0;0;0;0;0;0;0;0
18/12/2018;5;3;0.45;35;30;M;3;3;18;0;1;0;0;0;0;0;0
18/12/2018;5;5;1.38;54;34;M;3;0;14;0;0;0;0;0;0;0;0
18/12/2018;5;6;-3;40;32;M;3;1;23;0;0;0;0;0;0;0;0
18/12/2018;5;10;0.63;28;28;M;3;0;12;0;0;0;0;0;0;0;0
16/02/2017;5;11;-7.41;192;51;M;3;0;7;0;0;0;0;0;0;0;0
16/02/2017;5;12;-44.9;30;38;M;3;0;51;0;0;0;0;0;0;0;0
20/02/2017;5;13;2.71;27;27;M;3;0;35;0;0;0;0;0;0;0;0
17/01/2020;5;15;-10.79;20;29;F;3;0;15;0;0;0;0;0;0;0;0
17/01/2020;5;16;76.97;273;55;F;3;0;9;0;0;0;0;0;0;0;0
20/01/2020;5;17;-9.76;4;19;M;3;0;1;0;0;1;0;0;0;0;0
21/01/2020;5;19;-0.71;15;23;F;3;0;46;0;0;0;0;0;0;0;0
22/10/2018;6;1;-3.29;60;36;M;4;0;4;0;0;0;0;0;0;0;0
24/02/2017;6;2;-8.98;60;37;F;3;1;20;0;0;1;0;0;0;0;0
20/11/2018;6;3;-0.79;30;29;F;3;0;1;0;0;0;0;0;0;0;0
23/02/2017;6;4;-0.98;68;37;F;3;0;12;0;0;0;0;0;0;0;0
8/11/2018;6;7;7.17;65;35;M;3;0;4;0;0;1;0;0;0;0;0
8/11/2018;6;8;5.38;58;34;M;3;0;10;0;0;0;0;0;0;0;0
