site;fish;parspeciesrichness;div_shannon;div_simpson;temp;pH;conductivity;nitrogen;phosphorus;oxygen;netcen;updist;updist2;updist3;fishspeciesrichness;weight;weigh (g);length;SMI;Sex ;Gyr;Tri;Glu;ecto_screener;Con;CysL;Pro;Aca;Cam;Ang;CysI;endo_screener;PI;PI_ecto;PI_endo
1;1;1;0;0;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;177;1.77;49;0.749910726;F;0;6;0;KM;0;0;0;0;0;0;0;KM;0.050547583;0.050547583;0
1;2;1;0;0;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;183;1.83;49;0.775331429;F;0;10;0;SM;0;0;0;0;0;0;0;SM;0.084245972;0.084245972;0
1;3;2;0.325082973;0.18;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;166;1.66;47;0.808401493;M;0;9;0;SM;1;0;0;0;0;0;0;SM;1.504392592;0.075821375;1.428571218
1;4;1;0;0;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;100;1;40;0.834794571;M;0;13;0;SM;0;0;0;0;0;0;0;SM;0.109519763;0.109519763;0
1;5;2;0.286835983;0.152777778;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;69;0.69;35;0.899980012;F;4;44;0;SM;0;0;0;0;0;0;0;SM;1.58280307;1.58280307;0
1;6;2;0.017073907;0.00485434;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;61;0.61;37;0.660786105;M;0;410;0;ID;0;1;0;0;0;0;0;ID;6.787418342;3.454084842;3.3333335
1;7;3;0.256403189;0.108381789;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;36;0.36;30;0.785989518;F;5;150;4;ID;0;0;0;0;0;0;0;ID;12.7788428;12.7788428;0
1;8;1;0;0;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;72;0.72;38;0.71344078;M;0;544;0;ID;0;0;0;0;0;0;0;ID;4.582980863;4.582980863;0
1;9;2;0.327855402;0.182022112;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;55;0.55;32;0.967848389;F;8;71;0;SM;0;0;0;0;0;0;0;SM;3.022387987;3.022387987;0
1;11;0;0;1;15.9;7.9;790;2;0.28;7.6;65212.97453;67745.12507;17856;4472;3;148;1.48;47;0.7207435;F;0;0;0;PH;0;0;0;0;0;0;0;PH;0;0;0
