fish;site;Updist3;updist;netcen;updist2;nr_species;Temp;pH;Conductivity;Nitrogen;Phosphorus;Oxygen;PI;PI_ecto;PI_endo;confactor2;weight;length;length in cm;weight in g;confactor;Sex ;gyro;tricho;glugea;contra;cystsliver;proteo;acantho;cama;angui;cistsintestine
1;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.050547583;0.050547583;0;26.34125825;177;49;4.9;1.77;36.12;F;0;6;0;0;0;0;0;0;0;0
2;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.084245972;0.084245972;0;32.34125825;183;49;4.9;1.83;37.35;F;0;10;0;0;0;0;0;0;0;0
3;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;1.504392592;0.075821375;1.428571218;30.16089761;166;47;4.7;1.66;35.32;M;0;9;0;1;0;0;0;0;0;0
4;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.109519763;0.109519763;0;12.66249107;100;40;4;1;25;M;0;13;0;0;0;0;0;0;0;0
5;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;1.58280307;1.58280307;0;11.1711652;69;35;3.5;0.69;19.71;F;4;44;0;0;0;0;0;0;0;0
6;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;6.787418342;3.454084842;3.3333335;-7.981021112;61;37;3.7;0.61;16.49;M;0;410;0;0;1;0;0;0;0;0
7;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;12.7788428;12.7788428;0;1.44892939;36;30;3;0.36;12;F;5;150;4;0;0;0;0;0;0;0
8;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;4.582980863;4.582980863;0;-2.896531061;72;38;3.8;0.72;18.95;M;0;544;0;0;0;0;0;0;0;0
9;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;3.022387987;3.022387987;0;11.99573389;55;32;3.2;0.55;17.19;F;8;71;0;0;0;0;0;0;0;0
11;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0;0;0;12.16089761;148;47;4.7;1.48;31.49;F;0;0;0;0;0;0;0;0;0;0
12;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.025273792;0.025273792;0;48.64479724;170;45;4.5;1.7;37.78;F;0;3;0;0;0;0;0;0;0;0
13;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.151642749;0.151642749;0;70.45286562;289;58;5.8;2.89;49.83;F;0;18;0;0;0;0;0;0;0;0
14;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.168491944;0.168491944;0;74.06399963;300;59;5.9;3;50.85;F;0;20;0;0;0;0;0;0;0;0
15;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.042122986;0.042122986;0;-34.33750893;53;40;4;0.53;13.25;M;0;5;0;0;0;0;0;0;0;0
16;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.185341138;0.185341138;0;-12.21384216;131;48;4.8;1.31;27.29;M;0;22;0;0;0;0;0;0;0;0
17;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0;0;0;-4.547134383;214;58;5.8;2.14;36.9;M;0;0;0;0;0;0;0;0;0;0
18;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.008424597;0.008424597;0;-29.86443576;151;53;5.3;1.51;28.49;M;0;1;0;0;0;0;0;0;0;0
19;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0;0;0;24.54414238;265;61;6.1;2.65;43.44;M;0;0;0;0;0;0;0;0;0;0
20;1;4472;67745.12507;65212.97453;17856;3;15.9;7.9;790;2;0.28;7.6;0.042122986;0.042122986;0;-20.86443576;160;53;5.3;1.6;30.19;F;0;5;0;0;0;0;0;0;0;0
1;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0.025273792;0.025273792;0;1.682756158;109;43;4.3;1.09;25.35;M;0;3;0;0;0;0;0;0;0;0
2;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;1.495967995;0.067396777;1.428571218;7.662491068;95;40;4;0.95;23.75;F;0;8;0;1;0;0;0;0;0;0
3;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;3.636362755;0;3.636362755;3.018978888;72;37;3.7;0.72;19.46;M;0;0;0;0;0;0;0;0;4;0
4;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0;0;0;-5.019952042;76;39;3.9;0.76;19.49;M;0;0;0;0;0;0;0;0;0;0
5;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0.303030199;0.303030199;0;0.164573389;94;41;4.1;0.94;22.93;M;1;0;0;0;0;0;0;0;0;0
6;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0.26958711;0.26958711;0;-5.317243842;102;43;4.3;1.02;23.72;F;0;32;0;0;0;0;0;0;0;0
7;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0.294860901;0.294860901;0;3.712802683;67;36;3.6;0.67;18.61;M;0;35;0;0;0;0;0;0;0;0
8;2;19778;52437.11916;50877.1074;33186;7;18.2;7.8;788;1.5;0.88;5;0.336983887;0.336983887;0;11.38029132;64;34;3.4;0.64;18.82;M;0;40;0;0;0;0;0;0;0;0
