long;lat
50.8251;4.82341
50.87593;4.99015
50.97696;5.05442
50.76041;5.17696
50.80609;5.29592
50.965;5.23405
50.84131;5.50051
50.85516;5.10884
50.84261;5.12263
50.82443;4.66841
50.81645;4.63391
50.9329;4.83758
50.89581;5.48816
50.89318;5.54998
50.94403;4.99867
50.98115;4.88848
50.7402;5.0831
50.7484;5.2725
50.8571;4.6097
51.02873;5.19202
51.06001;5.24168
50.96268;5.09051
50.83853;5.33659
50.92321;5.23038
50.76785;4.48686
51.01071;5.04819
50.96343;4.72126
50.85979;4.73944
50.8331;4.55786
50.79012;4.59292
50.8454;4.88174
50.80094;4.92642
50.86346;4.68186
50.96288;4.63919
50.95853;4.5746
50.9541;4.56743
50.92532;4.58404
