site;updist;netcen;updist2;Updist3
1;67745.12507;65212.97453;17856;4472
2;52437.11916;50877.1074;33186;19778
3;32574.44868;38651.53331;1783;15827
4;65226.64401;63911.70352;28980;6736
5;67952.65478;64168.17228;31664;12171
6;45780.07402;45262.0497;2279;2371
7;76509.32419;72386.11495;76625;6715
9;49932.68291;47724.46004;14010;23559
11;52217.7333;49875.30195;16039;23356
12;26695.48849;61880.37268;1932;4714
13;25511.68194;60618.70108;1002;22058
14;15064.96775;56056.62109;13713;10487
15;67470.6868;63687.74746;67720;15788
16;72561.65994;68548.10804;3481;7066
17;39387.48543;45271.81713;8617;9932
18;15837.75852;44142.91515;4261;9992
19;67396.48604;64632.42266;31094;6093
20;76898.41061;72865.43489;40589;2762
21;21751.45973;58440.63861;7562;10425
22;44196.46983;47879.02199;13904;21941
23;49989.625;53511.25618;19715;8318
24;35027.42509;37413.39053;461;37125
26;62693.46116;59347.2448;16041;21588
28;46890.91789;45740.16059;10888;32524
29;39137.99383;73590.70441;14625;8411
30;29684.13812;45131.07839;6985;7893
31;2368.890831;43713.21298;1004;23430
32;18797.65393;55885.32365;4133;7968
33;26850.4624;63398.00232;12656;5316
34;30465.36231;65158.97932;5950;17084
35;62281.61413;59901.22779;27722;9918
36;66416.40839;63856.37472;30226;11143
38;16286.39435;53189.11542;356;2869
39;23736.38943;63663.03924;10148;12700
40;20784.66418;60384.20904;7186;15598
41;20943.65897;60481.18795;7280;13650
42;25423.6562;64836.74081;11806;9393
