Nitrogen;Oxygen;Phosphorus;Temperature;pH;Conductivity ;speciesrichness
2;7.6;0.28;15.9;7.9;790;3
1.5;5;0.88;18.2;7.8;788;7
3.6;6.2;0.29;20.1;7.5;475;5
7.5;6.6;0.76;17.3;7.9;993;1
1;9;0.19;19.1;8.1;940;3
2;5.5;0.073;18.4;7.9;373;11
2;8.4;0.17;15.9;8.2;802;1
2;7;0.31;20.5;8.1;906;4
8.3;2.2;1.2;18.2;8.3;691;3
15.93;6;1.15;19.2;7.6;907;1
2;7.6;0.35;19.7;7.9;808;5
5.1;6.6;0.47;18;7.7;593;2
2;7.3;0.18;17.3;8.1;664;4
2;8.3;0.15;17.4;7.6;596;2
4.6;5.2;0.46;17.4;7.6;545;3
3.207777778;2.1;0.054;22.5;7.6;561;3
0.75;8.7;0.24;16.2;8.3;941;1
2;8.1;0.095;15.9;8.1;875;1
1;6.9;0.36;19.6;8;812;1
2;6.5;0.12;17.3;7.1;358;6
2;8;0.16;15.1;7.2;166;7
2;1.9;0.58;22.9;8;740;5
2;5.3;0.31;18.4;8.1;958;5
2;5.6;0.37;23.4;8.5;974;11
2;8.1;0.1;17.9;7.7;762;3
5.6;2.5;0.44;22.5;7.8;734;8
2;4.2;0.26;20.2;7.7;671;6
1;8.5;0.16;17.9;8;687;2
2.1;6.6;0.19;20.4;8;580;3
3.6;7.7;0.16;19.5;8.1;734;1
2;8.5;0.22;17;8.1;791;6
3.1;6.5;0.4;18.3;8.2;879;3
2;6;0.22;18;8;725;7
7.8;1.6;2.1;19.3;8.1;945;3
5.9;2.5;0.56;17.6;8;672;2
1;7;0.28;21.6;8.2;885;3
2.1;8.5;0.56;18.8;8;776;4
