site,longitude,latitude,water_body,place,VMM_site,Prati_year,Prati,BBI_year,BBI,parasitology,date,time_hours,time_minutes,summer_time,time,temperature,CHL1,CHL2,CHL3,CHL,PC1,PC2,PC3,PC,transparency,conductivity,border,slope_border,hiding_places,gras,netels,pool_riffle,meander,sand,stones,mud,slib,other,water_plants,environment_right,environment_left,Gaac,Pupu,Baba,Pspa,Gogo,Cagi,Legi,Rham,Ruru,Umpy,Blbj,Lele,Sqce,Pefl,Scer,Cope,Caau,Satr,nr_species,traject,Gaac,Pupu,Baba,Pspa,Gogo,Cagi,Legi,Rham,Ruru,Umpy,Blbj,Lele,Sqce,Pefl,Scer,Cope,Caau,Satr,backswimmers,Gaac1,Gaac2,Gaac3,Gaac4,Gaac5,Gaac6,Gaac7,Gaac8,Gaac9,Gaac10,Gaac11,Gaac12,Gaac13
1,4.82341,50.8251,Velpe,Vertrijk,426400,2015,1.5,2015,6,1,18oct,13,0,60,720,12.3,142.4,154.4,133.9,143.5666667,0.747,0.699,0.688,0.711333333,30,824,natural,steep,1,0,0,1,1,0,1,1,1,0,0,wood,wood,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,100,21,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4.99015,50.87593,Velpe,Hoeleden,424500,2016,3.04,2014,7,1,18oct,15,30,60,870,12.1,81.58,79.86,81.07,80.83666667,0.766,0.766,0.737,0.756333333,22,784,natural,steep,1,1,0,0,0,0,0,0,1,0,0,trees,trees,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5.05442,50.97696,Begijnenbeek,Diest,417000,2016,1.91,2004,6,1,18oct,16,20,60,920,12.1,62.36,77.37,66.96,68.89666667,0.728,0.686,0.692,0.702,28,470,natural,steep,1,1,1,0,1,0,0,0,1,0,1,meadow,meadow,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,5,50,13,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,16,6,2,1,0,0,0,0,0,0,0,0,0,0
4,5.17696,50.76041,Cicindria,Muizen,437230,2006,2.55,2005,2,1,19oct,14,15,60,795,12.1,38.41,35.82,35.01,36.41333333,0.519,0.509,0.497,0.503,23,1036,natural,steep,1,1,0,1,1,0,0,1,1,0,1,built_up_area,built_up_area,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5.29592,50.80609,Herk,Hoepertingen,449200,2015,0.42,2014,7,1,19oct,15,15,60,855,11.4,205.2,194.2,206.8,202.0666667,1.336,1.361,1.289,1.328666667,16,954,artificial,steep,1,1,1,0,1,0,1,1,0,0,0,built_up_area,built_up_area,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5.23405,50.965,Steenlaak,Tiewinkel,454780,2013,1.46,2012,7,1,20oct,12,30,60,690,12.3,107,105.9,105.9,106.2666667,0.791,0.81,0.827,0.8185,26,373,natural,steep,1,1,0,0,0,0,0,1,1,0,1,trees,meadow,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,5.50051,50.84131,Demer,Hoeselt,403000,2016,0.91,2013,8,1,20oct,16,0,60,900,11.7,307.5,321.9,315.1,314.8333333,1.539,1.639,1.548,1.575333333,23,734,natural,steep,1,0,1,0,0,1,1,0,1,0,1,wood,wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,4.91916,50.78925,Grote_Gete,Tienen,441000,2016,0.79,2014,6,0,24oct,13,0,60,720,10.3,54.58,67.07,58.17,59.94,0.546,0.456,0.461,0.487666667,43,856,natural,steep,1,1,0,0,1,1,0,1,1,0,0.5,field,field,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,5.10884,50.85516,Kleine_Gete,Terweiden,429900,2016,1.06,2015,6,1,24oct,14,50,60,830,10.3,52.42,50.8,46.45,49.89,1.024,0.938,0.943,0.968333333,29,977,natural,steep,1,1,0,0,1,0,0,0,1,0,0,meadow,meadow,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5.18166,50.84503,Mielensbeek,Metsterenmolen,437800,2016,5.19,NA,NA,0,24oct,16,0,60,900,11.1,71.93,63.53,65.22,66.89333333,0.815,0.783,0.771,0.789666667,26,809,artificial,steep,0,0,0,0,0,0,0,1,0,0,0.5,built_up_area,built_up_area,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
