"2.5%"	"97.5%"	"beta"
"T_av"	-0.883251513939983	0.0446359483706345	-0.0842348407711502
"O2_sat_av"	-0.0539856241410113	0.0752735031113525	-0.00105259091963136
"Con_av"	-0.0139402003000716	0	-0.00360071802707925
"COD_av"	-0.0976042685674665	0.0371381301919814	-0.00426896492521396
"NH4._av"	-1.37019534440791	0.134813817774738	-0.143604629081494
"Nt_av"	-0.121722262236318	0.615203828169341	0.0558696786255223
"pool_riffle1"	-0.0998476719406119	3.79367129627144	0.39545922648744
"meander1"	-0.000290232672387258	4.09454022539764	0.735779961617584
"netcen"	-0.00030451508154527	0	-0.000114284045904136
"updist"	-5.97700503103937e-05	1.56419088779482e-05	-2.90923819509466e-06
