Gyro;Trich;Glug;Cont;Cys;Prote;Acan;Camm;Angu
0.15;0.85;0.05;0.05;0.05;0;0;0;0
0.3;0.65;0;0.05;0;0;0.1;0;0.1
0.1;0.85;0;0.15;0;0;0;0;0.1
0.05;0.9;0;0;0;0;0;0;0
0.2;1;0;0.05;0.05;0;0;0;0
0.15;0.85;0;0.05;0.1;0;0;0;0.05
0.55;0.95;0;0;0;0;0;0;0
0.4;0.6;0;0.1;0.2;0;0;0;0.1
0.75;0.95;0;0;0.05;0;0;0;0
0.6;0.65;0;0;0;0;0;0;0
0.3;0.75;0.1;0.05;0.05;0;0;0;0.2
0.25;0.9;0;0.05;0;0;0;0;0.4
0.31;0.69;0;0;0;0;0;0;0
0.1;0.7;0;0.15;0.05;0;0.1;0;0.2
0.4;0.9;0;0;0;0;0;0;0
0.1;0.8;0;0;0;0.05;0;0;0.3
0.7;0.75;0;0;0;0;0;0;0
0.6;0.7;0;0;0;0;0;0;0
0.4;0.9;0.2;0;0;0;0.05;0;0.05
0.05;0.75;0;0;0;0;0;0;0.05
0.15;0.35;0;0;0;0;0;0;0
0.08;1;0;0.17;0;0;0;0;0.08
0.45;0.95;0.05;0;0;0;0;0;0.1
0;0.9;0.05;0.05;0;0;0;0;0.05
0.3;0.6;0;0;0;0;0;0.2;0
0.44;0.67;0;0.11;0;0;0;0;0.33
0;1;0.38;0;0;0.13;0;0;0.13
0.55;0.95;0;0.15;0;0;0;0;0
0;0.48;0;0;0.05;0;0;0;0.05
0.35;0.9;0.1;0.05;0.05;0;0;0;0.05
0.33;1;0;0;0;0;0;0;0.11
0.52;0.81;0.1;0.1;0.05;0.05;0;0;0
0.2;0.95;0.25;0;0;0;0;0;0.7
0.65;1;0.15;0;0;0;0;0;0
0.15;1;0;0.25;0;0;0;0;0
0.48;0.81;0;0.43;0.1;0;0.05;0;0.19
0.5;1;0.05;0.05;0;0;0;0;0.05
