Easting,Northing,Comp.Intensity,ShootBio,RootBio,SpRich,SoilMoist,LightInt,Topog.Pos,TotalN
0,97.411,0.1674,5.5154,7.177,3.6056,0.1937,0.8011,0.665,0.4445
0.629,93.141,0.2129,5.6479,7.3177,3.7417,0.1683,1.0993,0.6639,0.3363
1.926,98.066,-1.6308,5.6832,7.1552,4,0.1683,0.7647,0.6571,0.4115
7.95,93.452,-0.2106,5.2709,6.8224,4,0.1531,0.7099,0.6547,0.3469
9.865,96.65,0.4615,5.8499,6.9655,3.3166,0.1708,1.0356,0.6383,0.5469
11.181,93.4,-0.921,5.5235,6.9566,3.3166,0.1607,0.9197,0.6774,0.4334
11.303,85.456,-0.392,5.4894,5.213,3.873,0.1759,0.7744,0.6378,0.3152
15.79,91.76,-0.5109,5.8853,7.0867,4,0.1658,1.0251,0.6312,0.5469
15.922,91.526,-0.1873,5.6699,7.4974,4.3589,0.1632,0.9682,0.6536,0.5469
15.959,96.176,-1.6621,5.9932,7.0301,4.1231,0.1607,1.1343,0.6402,0.4893
16.473,47.087,-0.4002,5.1773,7.3506,4.2426,0.148,0.45,0.6747,0.4556
16.536,51.826,0.2102,5.4004,6.8855,4,0.181,0.4644,0.7026,0.4668
16.726,88.975,0.0622,5.4192,6.4621,4.1231,0.1835,1.053,0.6521,0.5352
16.929,130.244,-0.2968,5.3904,7.1949,3,0.1988,0.7951,0.666,0.5236
17.243,83.253,-1.7333,5.6774,5.5567,3.6056,0.209,0.8573,0.6617,0.5469
17.403,89.829,-0.6729,5.6974,7.009,4.3589,0.1886,0.5508,0.6506,0.6065
18.029,86.576,-0.2806,5.803,5.5567,3.7417,0.2269,0.6716,0.6571,0.5469
18.482,57.902,-0.5813,5.3945,7.1216,3,0.1784,0.4351,0.6743,0.4225
18.506,81.528,-0.6822,5.3254,6.7643,3.873,0.2269,0.8384,0.6421,0.5007
20.097,51.699,-0.4826,4.7613,7.0507,3.7417,0.2014,0.3084,0.7072,0.4115
20.858,34.535,-0.6823,5.6437,7.1523,3.873,0.1632,0.86,0.7023,0.5704
21.463,92.933,0.2146,5.8908,7.2532,3.4641,0.2372,0.7959,0.6265,1.3705
21.827,131.382,0.0174,6.0234,6.9385,3.1623,0.1683,1.103,0.6575,0.4556
