"Site","T_av","O2_sat_av","Con_av","COD_av","NH4._av","Nt_av","SM_av","pool_riffle","meander","updist","netcen","netcen","updist"
"SITE 1",11.114,81.286,740.714,13.333,0.158,8.917,17.95,"1","1",67745.12507,65212.97453,65212.97453,67745.12507
"SITE 2",10.44,65.4,609.6,1.4,0.774,4.78,20.6,"0","0",52437.11916,50877.1074,50877.1074,52437.11916
"SITE 3",12.858,75.333,434.75,25.917,2.251,8.925,34.475,"0","1",32574.44868,38651.53331,38651.53331,32574.44868
"SITE 4",13.086,72.857,949,25,5,9.067,18.833,"1","1",65226.64401,63911.70352,63911.70352,65226.64401
"SITE 5",11.75,96.833,896.167,14,0.303,5.167,15.75,"0","1",67952.65478,64168.17228,64168.17228,67952.65478
"SITE 6",13.557,84.571,340.714,29,0.252,1.617,16.783,"0","0",45780.07402,45262.0497,45262.0497,45780.07402
"SITE 7",11.75,88.417,716.333,16.583,0.393,2.775,19.958,"0","0",76509.32419,72386.11495,72386.11495,76509.32419
"SITE 9",12.008,87,800.333,21.917,0.468,6.083,98,"0","1",49932.68291,47724.46004,47724.46004,49932.68291
"SITE 11",13.55,63.167,527.667,45.5,3.233,5.75,18.533,"0","0",52217.7333,49875.30195,49875.30195,52217.7333
"SITE 12",14.957,65.857,1089.857,50.5,5.365,16.1,15.5,"1","1",26695.48849,61880.37268,61880.37268,26695.48849
"SITE 13",14.486,90.429,771.7142857,11.333,0.668,6.533,5.433,"0","0",25511.68194,60618.70108,60618.70108,25511.68194
"SITE 14",11.983,77.667,472.333,37.167,2.367,7,119.667,"0","0",15064.96775,56056.62109,56056.62109,15064.96775
"SITE 15",11.577,85.308,591.462,24.667,0.26,2.608,17.292,"1","0",67470.6868,63687.74746,63687.74746,67470.6868
"SITE 16",12.443,87.857,462.571,37.167,0.21,1.73,15.15,"1","1",72561.65994,68548.10804,68548.10804,72561.65994
"SITE 17",11.425,73.25,470.333,20,2.589,10.617,17.725,"1","1",39387.48543,45271.81713,45271.81713,39387.48543
"SITE 18",16.214,61,422.429,35.833,2.417,5.45,26.017,"0","1",15837.75852,44142.91515,44142.91515,15837.75852
"SITE 19",9.317,94.9,812.833,7.5,0.103,5.358361111,12.4,"1","1",67396.48604,64632.42266,64632.42266,67396.48604
"SITE 20",12.957,85.571,851.286,15.833,0.17,4.583,31.667,"0","1",76898.41061,72865.43489,72865.43489,76898.41061
"SITE 21",15,85.333,673.167,19.5,0.635,5.067,26.95,"1","0",21751.45973,58440.63861,58440.63861,21751.45973
"SITE 22",10.475,73.833,255.833,24.727,0.527,2.164,27.045,"0","0",44196.46983,47879.02199,47879.02199,44196.46983
"SITE 23",10.05,80,138.667,37.167,0.29,1.372,36.167,"0","0",49989.625,53511.25618,53511.25618,49989.625
"SITE 24",11.773,66.091,593.091,34.727,0.806,4.891,23.445,"0","1",35027.42509,37413.39053,37413.39053,35027.42509
"SITE 26",12.167,80.333,897.417,16.417,0.409,5.242,16.475,"0","0",62693.46116,59347.2448,59347.2448,62693.46116
"SITE 28",13.433,99.667,801,20.909,0.354,4.636,18.064,"0","1",46890.91789,45740.16059,45740.16059,46890.91789
"SITE 29",14.133,87.667,669.667,14,0.227,7.55,11.367,"1","1",39137.99383,73590.70441,73590.70441,39137.99383
"SITE 30",13.542,48.833,542.417,42.333,2.261,3.317,49.583,"0","0",29684.13812,45131.07839,45131.07839,29684.13812
"SITE 31",12.867,70.333,447.333,29.333,0.68,3.283,39.333,"0","0",2368.890831,43713.21298,43713.21298,2368.890831
"SITE 32",13.186,91.857,617.571,19.333,0.362,4.767,27.25,"1","1",18797.65393,55885.32365,55885.32365,18797.65393
"SITE 33",15.233,84,539.333,13.667,0.325,3.683,14.317,"0","0",26850.4624,63398.00232,63398.00232,26850.4624
"SITE 34",12.05,92.583,659.833,14.75,0.336,8.05,17.808,"1","0",30465.36231,65158.97932,65158.97932,30465.36231
"SITE 35",11.175,91.375,687.375,26,0.395,4.317,42.667,"1","1",62281.61413,59901.22779,59901.22779,62281.61413
"SITE 36",13.7,88.833,755.5,26.167,1.26,5.567,40.333,"1","0",66416.40839,63856.37472,63856.37472,66416.40839
"SITE 38",13.633,77.5,667,20.333,0.695,7.033,64.667,"0","0",16286.39435,53189.11542,53189.11542,16286.39435
"SITE 39",11.333,43.75,848.333,35.75,2.542,5.017,18.025,"0","0",23736.38943,63663.03924,63663.03924,23736.38943
"SITE 40",12.9,71.4,635,16.4,2.208,3.243,4.7,"0","0",20784.66418,60384.20904,60384.20904,20784.66418
"SITE 41",15.1,94,716.333,15.167,0.165,2.55,7.117,"1","1",20943.65897,60481.18795,60481.18795,20943.65897
"SITE 42",13.786,89.571,705.714,18.167,0.88,3.45,9.367,"0","0",25423.6562,64836.74081,64836.74081,25423.6562
