"Group.1","Gyr","Tri","Glu","Con","CysL","Pro","Aca","Cam","Ang","CysI"
"1",0.157894736842105,0.842105263157895,0.0526315789473684,0.0526315789473684,0.0526315789473684,0,0,0,0,0
"2",0.3,0.65,0,0.05,0,0,0.1,0,0.1,0
"3",0.0666666666666667,0.8,0,0.0666666666666667,0,0,0,0,0,0
"4",0.05,0.9,0,0,0,0,0,0,0,0
"5",0.153846153846154,1,0,0.0769230769230769,0.0769230769230769,0,0,0,0,0
"6",0.157894736842105,0.894736842105263,0,0.0526315789473684,0.105263157894737,0,0,0,0.0526315789473684,0
"7",0.4,0.933333333333333,0,0,0,0,0,0,0,0
"9",0.444444444444444,0.666666666666667,0,0.111111111111111,0.222222222222222,0,0,0,0.111111111111111,0.222222222222222
"11",0.736842105263158,0.947368421052632,0,0,0.0526315789473684,0,0,0,0,0
"12",0.909090909090909,0.909090909090909,0,0,0,0,0,0,0,0
"13",0.294117647058824,0.705882352941177,0.117647058823529,0.0588235294117647,0.0588235294117647,0,0,0,0.176470588235294,0
"14",0.285714285714286,0.928571428571429,0,0.0714285714285714,0,0,0,0,0.357142857142857,0
"15",0.285714285714286,0.714285714285714,0,0,0,0,0,0,0,0
"16",0.0555555555555556,0.666666666666667,0,0.166666666666667,0.0555555555555556,0,0.111111111111111,0,0.111111111111111,0
"17",0.388888888888889,0.888888888888889,0,0,0,0,0,0,0,0
"18",0.0625,0.8125,0,0,0,0.0625,0,0,0.25,0
"19",0.647058823529412,0.705882352941177,0,0,0,0,0,0,0,0
"20",0.571428571428571,0.714285714285714,0,0,0,0,0,0,0,0
"21",0.368421052631579,0.894736842105263,0.210526315789474,0,0,0,0.0526315789473684,0,0.0526315789473684,0
"22",0.0588235294117647,0.705882352941177,0,0,0,0,0,0,0.0588235294117647,0
"23",0.15,0.35,0,0,0,0,0,0,0,0
"24",0.0833333333333333,1,0,0.166666666666667,0,0,0,0,0.0833333333333333,0
"26",0.5,0.944444444444444,0.0555555555555556,0,0,0,0,0,0.0555555555555556,0
"28",0,0.894736842105263,0.0526315789473684,0.0526315789473684,0,0,0,0,0.0526315789473684,0
"29",0.375,0.625,0,0,0,0,0,0.125,0,0
"30",0.5,0.75,0,0.125,0,0,0,0,0.375,0
"31",0,1,0.375,0,0,0.125,0,0,0.125,0
"32",0.5625,1,0,0.125,0,0,0,0,0,0
"33",0,0.476190476190476,0,0,0.0476190476190476,0,0,0,0.0476190476190476,0
"34",0.35,0.9,0.1,0.05,0.05,0,0,0,0.05,0
"35",0.428571428571429,1,0,0,0,0,0,0,0,0
"36",0.611111111111111,0.888888888888889,0.111111111111111,0.111111111111111,0.0555555555555556,0.0555555555555556,0,0,0,0
"38",0.2,0.95,0.25,0,0,0,0,0,0.7,0
"39",0.65,1,0.15,0,0,0,0,0,0,0
"40",0.15,1,0,0.25,0,0,0,0,0,0
"41",0.5,0.8,0,0.4,0.1,0,0.05,0,0.15,0.2
"42",0.473684210526316,1,0.0526315789473684,0.0526315789473684,0,0,0,0,0.0526315789473684,0
